backend,op,params,runs,us_per_run,throughput,unit
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=1,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",10224,100.27,1.17,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=2,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",5538,181.5,1.29,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=3,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",3976,265.63,1.33,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=4,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",2769,369.39,1.27,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=5,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",2223,450.78,1.3,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=8,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",1819,568.36,1.65,TFLOPS
MTL0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=512,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",168,5999.33,10.02,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=1,k=2048",47688,21.43,1.17,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=1,k=2048,o=1,mul=0",47688,21.55,1.17,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=4,k=2048",14910,69.57,1.45,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=4,k=2048,o=1,mul=0",14910,69.67,1.44,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=8,k=2048",7952,133.68,1.51,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=8,k=2048,o=1,mul=0",7952,133.85,1.5,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=32,k=2048",1000,1100.5,731.76,GFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=32,k=2048,o=1,mul=0",875,1148.08,701.44,GFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=64,k=2048",819,1294.11,1.24,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=64,k=2048,o=1,mul=0",819,1295.66,1.24,TFLOPS
